DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2]
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s4.txt, 33957.000, 882775.000, 10827975.000, -9945200.000, 3603500.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s4.txt, 33930.000, 676700.000, 11871150.000, -11194450.000, 3997500.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s4.txt, 33897.000, -339400.000, 11821875.000, -12161275.000, 4197500.000, 
matrix_bed_norm_q07s6.txt-matrix_bed_norm_q07s5.txt, 33951.000, 69150.000, 6092725.000, -6023575.000, 2326500.000, 
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s5.txt, 33967.000, 432375.000, 8406050.000, -7973675.000, 3024500.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s5.txt, 33932.000, 481900.000, 10103600.000, -9621700.000, 3576500.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s5.txt, 33907.000, -588675.000, 10951350.000, -11540025.000, 4027500.000, 
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s6.txt, 33962.000, 339025.000, 5092825.000, -4753800.000, 2142750.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s6.txt, 33936.000, 403750.000, 8424250.000, -8020500.000, 3204000.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s6.txt, 33902.000, -643825.000, 9683525.000, -10327350.000, 3749000.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s7.txt, 33957.000, 46850.000, 6125750.000, -6078900.000, 2519000.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s7.txt, 33924.000, -803575.000, 8450600.000, -9254175.000, 3351250.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s8.txt, 33905.000, -616825.000, 5592375.000, -6209200.000, 2440000.000, 
