DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2]
matrix_bed_norm_q10S4.txt-matrix_bed_norm_q10S2.txt, 34755.000, -485425.000, 9886650.000, -10372075.000, 3535500.000, 
matrix_bed_norm_q10S5.txt-matrix_bed_norm_q10S2.txt, 34727.000, -711175.000, 10795950.000, -11507125.000, 3957750.000, 
matrix_bed_norm_q10S6.txt-matrix_bed_norm_q10S2.txt, 34753.000, -178700.000, 11027225.000, -11205925.000, 4094250.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S2.txt, 34734.000, -270325.000, 12152575.000, -12422900.000, 4311000.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S2.txt, 34750.000, -355075.000, 12803550.000, -13158625.000, 4497750.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S2.txt, 34662.000, -1750650.000, 13203375.000, -14954025.000, 4760500.000, 
matrix_bed_norm_q10S4.txt-matrix_bed_norm_q10S3.txt, 34752.000, -389250.000, 7598475.000, -7987725.000, 2908000.000, 
matrix_bed_norm_q10S5.txt-matrix_bed_norm_q10S3.txt, 34731.000, -612400.000, 10989000.000, -11601400.000, 3790000.000, 
matrix_bed_norm_q10S6.txt-matrix_bed_norm_q10S3.txt, 34758.000, -66975.000, 11994225.000, -12061200.000, 4055500.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S3.txt, 34722.000, -169475.000, 13483400.000, -13652875.000, 4385000.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S3.txt, 34744.000, -211000.000, 14230250.000, -14441250.000, 4562500.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S3.txt, 34660.000, -1656625.000, 14216125.000, -15872750.000, 4836000.000, 
matrix_bed_norm_q10S5.txt-matrix_bed_norm_q10S4.txt, 34725.000, -290825.000, 8249950.000, -8540775.000, 3100500.000, 
matrix_bed_norm_q10S6.txt-matrix_bed_norm_q10S4.txt, 34749.000, 320525.000, 11433450.000, -11112925.000, 3783750.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S4.txt, 34724.000, 241775.000, 12267750.000, -12025975.000, 4107250.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S4.txt, 34739.000, 189700.000, 13303025.000, -13113325.000, 4359000.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S4.txt, 34658.000, -1101750.000, 13506375.000, -14608125.000, 4560500.000, 
matrix_bed_norm_q10S6.txt-matrix_bed_norm_q10S5.txt, 34744.000, 422800.000, 7250800.000, -6828000.000, 2946500.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S5.txt, 34708.000, 510300.000, 8922675.000, -8412375.000, 3495500.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S5.txt, 34721.000, 395025.000, 10097900.000, -9702875.000, 3695000.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S5.txt, 34649.000, -963525.000, 10699050.000, -11662575.000, 4015000.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S6.txt, 34739.000, -163400.000, 6366400.000, -6529800.000, 2856250.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S6.txt, 34754.000, -297025.000, 7800150.000, -8097175.000, 3338000.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S6.txt, 34675.000, -1592350.000, 9125450.000, -10717800.000, 3877750.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S7.txt, 34743.000, -351575.000, 5814550.000, -6166125.000, 2644250.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S7.txt, 34660.000, -1589325.000, 6933775.000, -8523100.000, 3245250.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S8.txt, 34678.000, -1290400.000, 5355575.000, -6645975.000, 2734500.000, 
